project_id,project_name,slug,project_path,tier,resolved_status,target_journal,portfolio_priority,ops_readiness_score,citation_readiness_score,workflow_readiness_score,recommended_license,source_paper_signal,source_protocol_signal,existing_pages_url,deposit_state,rewrite_workbook_source,rewrite_present,rewrite_valid,rewrite_word_count,rewrite_sentence_count,rewrite_matches_current,rewrite_status,publish_now,e156_body_status,protocol_status,dashboard_status,code_release_status,mit_license_status,github_status,pages_status,pdf_status,synthesis_status,source_article_path,github_repo_url,github_pages_url,paper_pdf_path,synthesis_article_url,notes,last_updated
ext-causalsynth,CausalSynth,causalsynth,C:\CausalSynth,Workbook-only,External E156 repo,E156,high,80,100,60,MIT,yes,yes,,Not indexed,C:\E156\rewrite-workbook.txt,yes,yes,142,7,no,rewritten,yes,ready,ready,missing,ready,planned,missing,missing,pending,not-configured,C:\CausalSynth\e156-submission\paper.json,,,,,Workbook-only project discovered from the C drive scan.,
ext-projects-chat2,chat2,projects-chat2,C:\Projects\chat2,Workbook-only,External E156 repo,E156,high,100,100,80,MIT,yes,yes,,Not indexed,C:\E156\rewrite-workbook.txt,yes,yes,146,7,no,rewritten,yes,ready,ready,ready,ready,planned,missing,missing,pending,not-configured,C:\Projects\chat2\e156-submission\paper.json,,,,,Workbook-only project discovered from the C drive scan.,
ext-projects-chatpaper,chatpaper,projects-chatpaper,C:\Projects\chatpaper,Workbook-only,External E156 repo,E156,high,100,100,80,MIT,yes,yes,,Not indexed,C:\E156\rewrite-workbook.txt,yes,yes,147,7,no,rewritten,yes,ready,ready,ready,ready,planned,missing,missing,pending,not-configured,C:\Projects\chatpaper\e156-submission\paper.json,,,,,Workbook-only project discovered from the C drive scan.,
ext-models-cinema,CINeMA,models-cinema,C:\Models\CINeMA,Workbook-only,External E156 repo,E156,high,40,85,20,MIT,no,no,,Not indexed,C:\E156\rewrite-workbook.txt,yes,yes,156,7,no,rewritten,yes,ready,missing,missing,ready,planned,missing,missing,pending,not-configured,C:\E156\rewrite-workbook.txt,,,,,Workbook-only project discovered from the C drive scan.,
ext-projects-claude2,claude2,projects-claude2,C:\Projects\claude2,Workbook-only,External E156 repo,E156,high,80,100,80,MIT,yes,yes,,Not indexed,C:\E156\rewrite-workbook.txt,yes,yes,134,7,no,rewritten,yes,ready,ready,missing,ready,ready,missing,missing,pending,not-configured,C:\Projects\claude2\e156-submission\paper.json,,,,,Workbook-only project discovered from the C drive scan.,
ext-projects-clauderepo,clauderepo,projects-clauderepo,C:\Projects\clauderepo,Workbook-only,External E156 repo,E156,high,100,100,100,MIT,yes,yes,,Not indexed,C:\E156\rewrite-workbook.txt,yes,yes,148,7,no,rewritten,yes,ready,ready,ready,ready,ready,missing,missing,pending,not-configured,C:\Projects\clauderepo\e156-submission\paper.json,,,,,Workbook-only project discovered from the C drive scan.,
7,Clinic Website,clinic-website-7,C:\Projects\clinic-site\,Tier 1,Shipped,,high,92,95,95,MIT,yes,yes,https://mahmood726-cyber.github.io/portfolio-catalog/projects/clinic-website-7.html,institutional-draft-ready,C:\E156\rewrite-workbook.txt,no,no,,,no,not-started,no,missing,draft,draft,ready,planned,missing,draft,not-needed,not-configured,,,,,,,
24,CRES,cres-24,C:\Models\CRES\,Tier 4,Submission ready,,high,88,95,95,MIT,yes,yes,https://mahmood726-cyber.github.io/portfolio-catalog/projects/cres-24.html,institutional-draft-ready,C:\E156\rewrite-workbook.txt,no,no,,,no,not-started,yes,missing,draft,draft,ready,planned,missing,draft,pending,not-configured,,,,,,,
ext-projects-ctgov-actual-field-discipline,ctgov-actual-field-discipline,projects-ctgov-actual-field-discipline,C:\Projects\ctgov-actual-field-discipline,Workbook-only,External E156 repo,E156,high,100,100,80,MIT,yes,yes,,Not indexed,C:\E156\rewrite-workbook.txt,yes,yes,156,7,no,rewritten,yes,ready,ready,ready,ready,planned,missing,missing,pending,not-configured,C:\Projects\ctgov-actual-field-discipline\e156-submission\paper.md,,,,,Workbook-only project discovered from the C drive scan.,
ext-projects-ctgov-completion-delay-debt,ctgov-completion-delay-debt,projects-ctgov-completion-delay-debt,C:\Projects\ctgov-completion-delay-debt,Workbook-only,External E156 repo,E156,high,100,100,80,MIT,yes,yes,,Not indexed,C:\E156\rewrite-workbook.txt,yes,yes,156,7,no,rewritten,yes,ready,ready,ready,ready,planned,missing,missing,pending,not-configured,C:\Projects\ctgov-completion-delay-debt\e156-submission\paper.md,,,,,Workbook-only project discovered from the C drive scan.,
ext-projects-ctgov-condition-detailed-description-gap,ctgov-condition-detailed-description-gap,projects-ctgov-condition-detailed-description-gap,C:\Projects\ctgov-condition-detailed-description-gap,Workbook-only,External E156 repo,E156,high,100,100,80,MIT,yes,yes,,Not indexed,C:\E156\rewrite-workbook.txt,yes,yes,156,7,no,rewritten,yes,ready,ready,ready,ready,planned,missing,missing,pending,not-configured,C:\Projects\ctgov-condition-detailed-description-gap\e156-submission\paper.md,,,,,Workbook-only project discovered from the C drive scan.,
ext-projects-ctgov-condition-narrative-gap,ctgov-condition-narrative-gap,projects-ctgov-condition-narrative-gap,C:\Projects\ctgov-condition-narrative-gap,Workbook-only,External E156 repo,E156,high,100,100,80,MIT,yes,yes,,Not indexed,C:\E156\rewrite-workbook.txt,yes,yes,156,7,no,rewritten,yes,ready,ready,ready,ready,planned,missing,missing,pending,not-configured,C:\Projects\ctgov-condition-narrative-gap\e156-submission\paper.md,,,,,Workbook-only project discovered from the C drive scan.,
ext-projects-ctgov-condition-primary-only-gap,ctgov-condition-primary-only-gap,projects-ctgov-condition-primary-only-gap,C:\Projects\ctgov-condition-primary-only-gap,Workbook-only,External E156 repo,E156,high,100,100,80,MIT,yes,yes,,Not indexed,C:\E156\rewrite-workbook.txt,yes,yes,156,7,no,rewritten,yes,ready,ready,ready,ready,planned,missing,missing,pending,not-configured,C:\Projects\ctgov-condition-primary-only-gap\e156-submission\paper.md,,,,,Workbook-only project discovered from the C drive scan.,
ext-projects-ctgov-condition-primary-outcome-gap,ctgov-condition-primary-outcome-gap,projects-ctgov-condition-primary-outcome-gap,C:\Projects\ctgov-condition-primary-outcome-gap,Workbook-only,External E156 repo,E156,high,100,100,80,MIT,yes,yes,,Not indexed,C:\E156\rewrite-workbook.txt,yes,yes,156,7,no,rewritten,yes,ready,ready,ready,ready,planned,missing,missing,pending,not-configured,C:\Projects\ctgov-condition-primary-outcome-gap\e156-submission\paper.md,,,,,Workbook-only project discovered from the C drive scan.,
ext-projects-ctgov-country-detailed-description-gap,ctgov-country-detailed-description-gap,projects-ctgov-country-detailed-description-gap,C:\Projects\ctgov-country-detailed-description-gap,Workbook-only,External E156 repo,E156,high,100,100,80,MIT,yes,yes,,Not indexed,C:\E156\rewrite-workbook.txt,yes,yes,156,7,no,rewritten,yes,ready,ready,ready,ready,planned,missing,missing,pending,not-configured,C:\Projects\ctgov-country-detailed-description-gap\e156-submission\paper.md,,,,,Workbook-only project discovered from the C drive scan.,
ext-projects-ctgov-country-primary-only-gap,ctgov-country-primary-only-gap,projects-ctgov-country-primary-only-gap,C:\Projects\ctgov-country-primary-only-gap,Workbook-only,External E156 repo,E156,high,100,100,80,MIT,yes,yes,,Not indexed,C:\E156\rewrite-workbook.txt,yes,yes,156,7,no,rewritten,yes,ready,ready,ready,ready,planned,missing,missing,pending,not-configured,C:\Projects\ctgov-country-primary-only-gap\e156-submission\paper.md,,,,,Workbook-only project discovered from the C drive scan.,
ext-projects-ctgov-country-primary-outcome-gap,ctgov-country-primary-outcome-gap,projects-ctgov-country-primary-outcome-gap,C:\Projects\ctgov-country-primary-outcome-gap,Workbook-only,External E156 repo,E156,high,100,100,80,MIT,yes,yes,,Not indexed,C:\E156\rewrite-workbook.txt,yes,yes,156,7,no,rewritten,yes,ready,ready,ready,ready,planned,missing,missing,pending,not-configured,C:\Projects\ctgov-country-primary-outcome-gap\e156-submission\paper.md,,,,,Workbook-only project discovered from the C drive scan.,
ext-projects-ctgov-country-text-asymmetry,ctgov-country-text-asymmetry,projects-ctgov-country-text-asymmetry,C:\Projects\ctgov-country-text-asymmetry,Workbook-only,External E156 repo,E156,high,100,100,80,MIT,yes,yes,,Not indexed,C:\E156\rewrite-workbook.txt,yes,yes,156,7,no,rewritten,yes,ready,ready,ready,ready,planned,missing,missing,pending,not-configured,C:\Projects\ctgov-country-text-asymmetry\e156-submission\paper.md,,,,,Workbook-only project discovered from the C drive scan.,
ext-projects-ctgov-design-purpose-hiddenness,ctgov-design-purpose-hiddenness,projects-ctgov-design-purpose-hiddenness,C:\Projects\ctgov-design-purpose-hiddenness,Workbook-only,External E156 repo,E156,high,100,100,80,MIT,yes,yes,,Not indexed,C:\E156\rewrite-workbook.txt,yes,yes,156,7,no,rewritten,yes,ready,ready,ready,ready,planned,missing,missing,pending,not-configured,C:\Projects\ctgov-design-purpose-hiddenness\e156-submission\paper.md,,,,,Workbook-only project discovered from the C drive scan.,
ext-projects-ctgov-enrollment-size-gap,ctgov-enrollment-size-gap,projects-ctgov-enrollment-size-gap,C:\Projects\ctgov-enrollment-size-gap,Workbook-only,External E156 repo,E156,high,100,100,80,MIT,yes,yes,,Not indexed,C:\E156\rewrite-workbook.txt,yes,yes,156,7,no,rewritten,yes,ready,ready,ready,ready,planned,missing,missing,pending,not-configured,C:\Projects\ctgov-enrollment-size-gap\e156-submission\paper.md,,,,,Workbook-only project discovered from the C drive scan.,
ext-projects-ctgov-geography-scale-visibility,ctgov-geography-scale-visibility,projects-ctgov-geography-scale-visibility,C:\Projects\ctgov-geography-scale-visibility,Workbook-only,External E156 repo,E156,high,100,100,80,MIT,yes,yes,,Not indexed,C:\E156\rewrite-workbook.txt,yes,yes,156,7,no,rewritten,yes,ready,ready,ready,ready,planned,missing,missing,pending,not-configured,C:\Projects\ctgov-geography-scale-visibility\e156-submission\paper.md,,,,,Workbook-only project discovered from the C drive scan.,
ext-projects-ctgov-intervention-type-gap,ctgov-intervention-type-gap,projects-ctgov-intervention-type-gap,C:\Projects\ctgov-intervention-type-gap,Workbook-only,External E156 repo,E156,high,100,100,80,MIT,yes,yes,,Not indexed,C:\E156\rewrite-workbook.txt,yes,yes,156,7,no,rewritten,yes,ready,ready,ready,ready,planned,missing,missing,pending,not-configured,C:\Projects\ctgov-intervention-type-gap\e156-submission\paper.md,,,,,Workbook-only project discovered from the C drive scan.,
ext-projects-ctgov-outcome-density-gap,ctgov-outcome-density-gap,projects-ctgov-outcome-density-gap,C:\Projects\ctgov-outcome-density-gap,Workbook-only,External E156 repo,E156,high,100,100,80,MIT,yes,yes,,Not indexed,C:\E156\rewrite-workbook.txt,yes,yes,156,7,no,rewritten,yes,ready,ready,ready,ready,planned,missing,missing,pending,not-configured,C:\Projects\ctgov-outcome-density-gap\e156-submission\paper.md,,,,,Workbook-only project discovered from the C drive scan.,
ext-projects-ctgov-stopped-trial-disclosure-gap,ctgov-stopped-trial-disclosure-gap,projects-ctgov-stopped-trial-disclosure-gap,C:\Projects\ctgov-stopped-trial-disclosure-gap,Workbook-only,External E156 repo,E156,high,100,100,80,MIT,yes,yes,,Not indexed,C:\E156\rewrite-workbook.txt,yes,yes,156,7,no,rewritten,yes,ready,ready,ready,ready,planned,missing,missing,pending,not-configured,C:\Projects\ctgov-stopped-trial-disclosure-gap\e156-submission\paper.md,,,,,Workbook-only project discovered from the C drive scan.,
ext-projects-ctgov-trial-architecture-gap,ctgov-trial-architecture-gap,projects-ctgov-trial-architecture-gap,C:\Projects\ctgov-trial-architecture-gap,Workbook-only,External E156 repo,E156,high,100,100,80,MIT,yes,yes,,Not indexed,C:\E156\rewrite-workbook.txt,yes,yes,156,7,no,rewritten,yes,ready,ready,ready,ready,planned,missing,missing,pending,not-configured,C:\Projects\ctgov-trial-architecture-gap\e156-submission\paper.md,,,,,Workbook-only project discovered from the C drive scan.,
ext-models-denominator-calibrated-living-nma,Denominator_Calibrated_Living_NMA,models-denominator-calibrated-living-nma,C:\Models\Denominator_Calibrated_Living_NMA,Workbook-only,External E156 repo,E156,high,20,85,20,MIT,no,no,,Not indexed,C:\E156\rewrite-workbook.txt,yes,yes,150,7,no,rewritten,yes,ready,missing,missing,draft,planned,missing,missing,pending,not-configured,C:\E156\rewrite-workbook.txt,,,,,Workbook-only project discovered from the C drive scan.,
10,DTA Pro,dta-pro-10,C:\HTML apps\DTA_Pro_Review\,Tier 2,Archived,,high,90,95,95,MIT,yes,yes,https://mahmood726-cyber.github.io/portfolio-catalog/projects/dta-pro-10.html,institutional-draft-ready,C:\E156\rewrite-workbook.txt,no,no,,,no,not-started,no,missing,draft,draft,ready,planned,missing,draft,not-needed,not-configured,,,,,,,
ext-projects-everything-claude-code,everything-claude-code,projects-everything-claude-code,C:\Projects\everything-claude-code,Workbook-only,External E156 repo,E156,high,100,100,80,MIT,yes,yes,,Not indexed,C:\E156\rewrite-workbook.txt,yes,yes,146,7,no,rewritten,yes,ready,ready,ready,ready,planned,missing,missing,pending,not-configured,C:\Projects\everything-claude-code\e156-submission\paper.json,,,,,Workbook-only project discovered from the C drive scan.,
ext-models-evidenceoracle,EvidenceOracle,models-evidenceoracle,C:\Models\EvidenceOracle,Workbook-only,External E156 repo,E156,high,40,85,20,MIT,no,no,,Not indexed,C:\E156\rewrite-workbook.txt,yes,yes,149,7,no,rewritten,yes,ready,missing,missing,ready,planned,missing,missing,pending,not-configured,C:\E156\rewrite-workbook.txt,,,,,Workbook-only project discovered from the C drive scan.,
105,EvidenceQuality (Concordance),evidencequality-concordance-105,C:\EvidenceQuality\,Tier 10,Submission ready,,high,73,95,90,CC-BY-4.0,yes,yes,https://mahmood726-cyber.github.io/portfolio-catalog/projects/evidencequality-concordance-105.html,institutional-draft-ready,C:\E156\rewrite-workbook.txt,no,no,,,no,not-started,yes,missing,draft,draft,ready,missing,missing,draft,pending,not-configured,,,,,,,
ext-models-gradepro,GRADEPro,models-gradepro,C:\Models\GRADEPro,Workbook-only,External E156 repo,E156,high,40,85,20,MIT,no,no,,Not indexed,C:\E156\rewrite-workbook.txt,yes,yes,154,7,no,rewritten,yes,ready,missing,missing,ready,planned,missing,missing,pending,not-configured,C:\E156\rewrite-workbook.txt,,,,,Workbook-only project discovered from the C drive scan.,
28,GRMA,grma-28,C:\Models\GRMA_paper\,Tier 4,Submission ready,,high,84,95,95,MIT,yes,yes,https://mahmood726-cyber.github.io/portfolio-catalog/projects/grma-28.html,institutional-draft-ready,C:\E156\rewrite-workbook.txt,no,no,,,no,not-started,yes,missing,draft,draft,ready,planned,missing,draft,pending,not-configured,,,,,,,
26,GWAM,gwam-26,C:\Models\GWAM\,Tier 4,Submission ready,,high,88,95,95,MIT,yes,yes,https://mahmood726-cyber.github.io/portfolio-catalog/projects/gwam-26.html,institutional-draft-ready,C:\E156\rewrite-workbook.txt,no,no,,,no,not-started,yes,missing,draft,draft,ready,planned,missing,draft,pending,not-configured,,,,,,,
22,HeterogeneityASE,heterogeneityase-22,C:\Models\New_Heterogeneity_Model\,Tier 4,Submission ready,,high,88,95,95,MIT,yes,yes,https://mahmood726-cyber.github.io/portfolio-catalog/projects/heterogeneityase-22.html,institutional-draft-ready,C:\E156\rewrite-workbook.txt,yes,yes,148,7,no,rewritten,yes,ready,draft,draft,ready,planned,missing,draft,pending,not-configured,C:\E156\rewrite-workbook.txt,,,,,,
11,HTA Artifact Standard,hta-artifact-standard-11,C:\HTML apps\HTA\,Tier 2,Shipped,,high,96,95,95,MIT,yes,yes,https://mahmood726-cyber.github.io/portfolio-catalog/projects/hta-artifact-standard-11.html,institutional-draft-ready,C:\E156\rewrite-workbook.txt,no,no,,,no,not-started,no,missing,draft,draft,ready,planned,missing,draft,not-needed,not-configured,,,,,,,
49,HTA Evidence Integrity,hta-evidence-integrity-49,C:\Models\HTA_Evidence_Integrity_Suite\,Tier 7,Submission ready,,high,90,95,95,MIT,yes,yes,https://mahmood726-cyber.github.io/portfolio-catalog/projects/hta-evidence-integrity-49.html,institutional-draft-ready,C:\E156\rewrite-workbook.txt,no,no,,,no,not-started,yes,missing,draft,draft,ready,planned,missing,draft,pending,not-configured,,,,,,,
50,HTA Transportability,hta-transportability-50,C:\Models\HTA_Transportability_Engine\,Tier 7,Submission ready,,high,92,95,95,MIT,yes,yes,https://mahmood726-cyber.github.io/portfolio-catalog/projects/hta-transportability-50.html,institutional-draft-ready,C:\E156\rewrite-workbook.txt,no,no,,,no,not-started,yes,missing,draft,draft,ready,planned,missing,draft,pending,not-configured,,,,,,,
9,IPD-Meta-Pro,ipd-meta-pro-9,C:\HTML apps\IPD-Meta-Pro\,Tier 2,Shipped,,high,92,95,95,MIT,yes,yes,https://mahmood726-cyber.github.io/portfolio-catalog/projects/ipd-meta-pro-9.html,institutional-draft-ready,C:\E156\rewrite-workbook.txt,no,no,,,no,not-started,no,missing,draft,draft,ready,planned,missing,draft,not-needed,not-configured,,,,,,,
25,IPD-QMA,ipd-qma-25,C:\Models\IPD_QMA\,Tier 4,Accepted,,high,88,95,95,MIT,yes,yes,https://mahmood726-cyber.github.io/portfolio-catalog/projects/ipd-qma-25.html,institutional-draft-ready,C:\E156\rewrite-workbook.txt,no,no,,,no,not-started,yes,missing,draft,draft,ready,planned,missing,draft,pending,not-configured,,,,,,,
ext-models-ipdsimulator,IPDSimulator,models-ipdsimulator,C:\Models\IPDSimulator,Workbook-only,External E156 repo,E156,high,60,85,60,MIT,no,no,,Not indexed,C:\E156\rewrite-workbook.txt,yes,yes,155,7,no,rewritten,yes,ready,missing,ready,ready,ready,missing,missing,pending,not-configured,C:\E156\rewrite-workbook.txt,,,,,Workbook-only project discovered from the C drive scan.,
15,Living-Meta,living-meta-15,C:\HTML apps\living-meta\,Tier 2,Paused,,high,86,95,95,MIT,yes,yes,https://mahmood726-cyber.github.io/portfolio-catalog/projects/living-meta-15.html,institutional-draft-ready,C:\E156\rewrite-workbook.txt,no,no,,,no,not-started,no,missing,draft,draft,ready,planned,missing,draft,not-needed,not-configured,,,,,,,
ext-models-livingma,LivingMA,models-livingma,C:\Models\LivingMA,Workbook-only,External E156 repo,E156,high,60,85,40,MIT,no,no,,Not indexed,C:\E156\rewrite-workbook.txt,yes,yes,141,7,no,rewritten,yes,ready,missing,ready,ready,planned,missing,missing,pending,not-configured,C:\E156\rewrite-workbook.txt,,,,,Workbook-only project discovered from the C drive scan.,
ext-models-maconverter,MAConverter,models-maconverter,C:\Models\MAConverter,Workbook-only,External E156 repo,E156,high,40,85,20,MIT,no,no,,Not indexed,C:\E156\rewrite-workbook.txt,yes,yes,153,7,no,rewritten,yes,ready,missing,missing,ready,planned,missing,missing,pending,not-configured,C:\E156\rewrite-workbook.txt,,,,,Workbook-only project discovered from the C drive scan.,
ext-mahmood726-cyber-github-io,mahmood726-cyber.github.io,mahmood726-cyber-github-io,C:\mahmood726-cyber.github.io,Workbook-only,External E156 repo,E156,high,100,100,80,MIT,yes,yes,,Not indexed,C:\E156\rewrite-workbook.txt,yes,yes,147,7,no,rewritten,yes,ready,ready,ready,ready,planned,missing,missing,pending,not-configured,C:\mahmood726-cyber.github.io\e156-submission\paper.json,,,,,Workbook-only project discovered from the C drive scan.,
40,MAPriors,mapriors-40,C:\Models\MAPriors\,Tier 5,Submission ready,,high,75,95,90,MIT,yes,yes,https://mahmood726-cyber.github.io/portfolio-catalog/projects/mapriors-40.html,institutional-draft-ready,C:\E156\rewrite-workbook.txt,no,no,,,no,not-started,yes,missing,draft,draft,ready,planned,missing,draft,pending,not-configured,,,,,,,
ext-models-masamplesize,MASampleSize,models-masamplesize,C:\Models\MASampleSize,Workbook-only,External E156 repo,E156,high,40,85,20,MIT,no,no,,Not indexed,C:\E156\rewrite-workbook.txt,yes,yes,156,7,no,rewritten,yes,ready,missing,missing,ready,planned,missing,missing,pending,not-configured,C:\E156\rewrite-workbook.txt,,,,,Workbook-only project discovered from the C drive scan.,
27,MEM (Meta Ecosystem),mem-meta-ecosystem-27,C:\Models\Meta_Ecosystem_Model\,Tier 4,Submission ready,,high,78,75,75,MIT,yes,no,https://mahmood726-cyber.github.io/portfolio-catalog/projects/mem-meta-ecosystem-27.html,awaiting-release,C:\E156\rewrite-workbook.txt,no,no,,,no,not-started,yes,missing,missing,draft,ready,planned,missing,draft,pending,not-configured,,,,,,,
ext-metaaudit,MetaAudit,metaaudit,C:\MetaAudit,Workbook-only,External E156 repo,E156,high,80,100,60,MIT,yes,yes,,Not indexed,C:\E156\rewrite-workbook.txt,yes,yes,143,7,no,rewritten,yes,ready,ready,missing,ready,planned,missing,missing,pending,not-configured,C:\MetaAudit\e156-submission\paper.json,,,,,Workbook-only project discovered from the C drive scan.,
86,Metanew,metanew-86,C:\Projects\,Tier 12,Submission ready,,high,20,65,60,CC-BY-4.0,no,no,https://mahmood726-cyber.github.io/portfolio-catalog/projects/metanew-86.html,awaiting-release,C:\E156\rewrite-workbook.txt,no,no,,,no,not-started,yes,missing,missing,draft,missing,missing,missing,draft,pending,not-configured,,,,,,,
30,metaoverfit,metaoverfit-30,C:\Projects\metaoverfit\,Tier 4,Submission ready,,high,86,95,95,CC-BY-4.0,yes,yes,https://mahmood726-cyber.github.io/portfolio-catalog/projects/metaoverfit-30.html,institutional-draft-ready,C:\E156\rewrite-workbook.txt,yes,yes,136,7,no,rewritten,yes,ready,draft,draft,ready,missing,missing,draft,pending,not-configured,C:\E156\rewrite-workbook.txt,,,,,,
ext-models-metarep,MetaRep,models-metarep,C:\Models\MetaRep,Workbook-only,External E156 repo,E156,high,100,100,80,MIT,yes,yes,,Not indexed,C:\E156\rewrite-workbook.txt,yes,yes,140,7,no,rewritten,yes,ready,ready,ready,ready,planned,published,missing,pending,not-configured,C:\Models\MetaRep\e156-submission\paper.json,metarep,,,,Workbook-only project discovered from the C drive scan.,
ext-models-metarepair,MetaRepair,models-metarepair,C:\Models\MetaRepair,Workbook-only,External E156 repo,E156,high,100,100,80,MIT,yes,yes,,Not indexed,C:\E156\rewrite-workbook.txt,yes,yes,127,7,no,rewritten,yes,ready,ready,ready,ready,planned,published,missing,pending,not-configured,C:\Models\MetaRepair\e156-submission\paper.json,meta-repair,,,,Workbook-only project discovered from the C drive scan.,
3,MetaReproducer,metareproducer-3,C:\Models\MetaReproducer\,Tier 1,Submission ready,BMJ,high,85,100,100,MIT,yes,yes,https://mahmood726-cyber.github.io/portfolio-catalog/projects/metareproducer-3.html,institutional-draft-ready,C:\E156\rewrite-workbook.txt,yes,yes,156,7,no,rewritten,yes,ready,draft,draft,ready,planned,missing,draft,pending,not-configured,C:\E156\rewrite-workbook.txt,,,,,,
ext-metareproducer,MetaReproducer,metareproducer,C:\MetaReproducer,Workbook-only,External E156 repo,E156,high,80,100,60,MIT,yes,yes,,Not indexed,C:\E156\rewrite-workbook.txt,yes,yes,150,7,no,rewritten,yes,ready,ready,missing,ready,planned,missing,missing,pending,not-configured,C:\MetaReproducer\e156-submission\paper.json,,,,,Workbook-only project discovered from the C drive scan.,
